Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
leukocyte transendothelial migration,4 of 110,0.0681815284874767,0.39103051139366984,0,0,2.6915951972555745,7.228498520543152,CLDN5;MAPK11;NCF4;RAC2
huntingtons disease,2 of 31,0.0692001703776259,0.39103051139366984,0,0,4.902776048798706,13.094098713614162,CLTCL1;EP300
renal cell carcinoma,3 of 69,0.07192758147022478,0.39103051139366984,0,0,3.236989459815547,8.52006532290935,EP300;MAPK1;CRKL
taurine and hypotaurine metabolism,1 of 6,0.08084415615087263,0.39103051139366984,0,0,14.184172661870504,35.67648462811393,GGT1
cyanoamino acid metabolism,1 of 6,0.08084415615087263,0.39103051139366984,0,0,14.184172661870504,35.67648462811393,GGT1
long term depression,3 of 73,0.08206878023240093,0.39103051139366984,0,0,3.0513975155279502,7.629096744902012,GNAZ;MAPK1;PLA2G6
adherens junction,3 of 75,0.08735788020496879,0.39103051139366984,0,0,2.966334541062802,7.231158392709882,RAC2;EP300;MAPK1
chronic myeloid leukemia,3 of 75,0.08735788020496879,0.39103051139366984,0,0,2.966334541062802,7.231158392709882,BCR;MAPK1;CRKL
neurodegenerative diseases,2 of 38,0.09827908827085222,0.41991974079364125,0,0,3.9480545527476933,9.159265503794593,EP300;NEFH
prostate cancer,3 of 86,0.11883901386053805,0.47300363118110617,0,0,2.571765322158198,5.477822913662657,EP300;MAPK1;ATF4
notch signaling pathway,2 of 43,0.12076688455687817,0.47300363118110617,0,0,3.4657039711191335,7.326127938285303,MFNG;EP300
ethylbenzene degradation,1 of 10,0.1310881440726684,0.49289142171323314,0,0,7.87849720223821,16.008202860337175,PNPLA3
circadian rhythm,1 of 11,0.14321551004652938,0.5177791517066832,0,0,7.090287769784172,13.779298717531033,CSNK1E
reductive carboxylate cycle,1 of 12,0.15517421345640053,0.5335842644489536,0,0,6.445389143230869,12.009093108785684,ACO2
arachidonic acid metabolism,2 of 51,0.15893999366564573,0.5335842644489536,0,0,2.8986959404700507,5.331364320825576,GGT1;PLA2G6
tyrosine metabolism,2 of 53,0.16880587986380127,0.5415459755515666,0,0,2.7847384441141076,4.954066022093192,PNPLA3;MIF
alkaloid biosynthesis ii,1 of 14,0.17859494938402729,0.5415459755515666,0,0,5.453237410071942,9.393937025303781,PNPLA3
glyoxylate and dicarboxylate metabolism,1 of 14,0.17859494938402729,0.5415459755515666,0,0,5.453237410071942,9.393937025303781,ACO2
alpha linolenic acid metabolism,1 of 15,0.19006156011535325,0.5583058328388502,0,0,5.063463514902364,8.407411574262907,PLA2G6
parkinsons disease,1 of 17,0.21251847664906087,0.605355660757931,0,0,4.430080935251799,6.860983056947853,UBE2L3
epithelial cell signaling in helicobacter pylori infection,2 of 65,0.2296757944278879,0.6102983702256102,0,0,2.25293679445304,3.3142650251260055,MAPK11;ATP6V1E1
amyotrophic lateral sclerosis,1 of 19,0.2343549068231997,0.6102983702256102,0,0,3.9374500399680255,5.712919565789228,NEFH
1 and 2 methylnaphthalene degradation,1 of 20,0.24504579671381618,0.6102983702256102,0,0,3.7300265051117,5.245574173234264,PNPLA3
benzoate degradation via coa ligation,1 of 21,0.2555879345743658,0.6102983702256102,0,0,3.5433453237410073,4.833791870244161,PNPLA3
natural killer cell mediated cytotoxicity,3 of 129,0.26868616704038745,0.6102983702256102,0,0,1.6903899240855762,2.221529447921191,RAC2;MAPK1;BID
pancreatic cancer,2 of 73,0.2710348814625209,0.6102983702256102,0,0,1.998271215742106,2.60875856375195,RAC2;MAPK1
rna polymerase,1 of 23,0.2762341751180707,0.6102983702256102,0,0,3.220896010464356,4.1437030491477325,POLR3H
focal adhesion,4 of 192,0.2802873471588442,0.6102983702256102,0,0,1.511257253384913,1.9222284937207015,RAC2;MAPK1;PARVB;CRKL
limonene and pinene degradation,1 of 24,0.28634231746557093,0.6102983702256102,0,0,3.0807006568658117,3.8526234091511773,PNPLA3
selenoamino acid metabolism,1 of 26,0.30613853694759363,0.6102983702256102,0,0,2.833956834532374,3.354604424996389,GGT1
regulation of actin cytoskeleton,4 of 201,0.3083889492979786,0.6102983702256102,0,0,1.4415505306875864,1.6958306314113782,RAC2;MYH9;MAPK1;CRKL
apoptosis,2 of 81,0.3123354155779186,0.6102983702256102,0,0,1.7951834757574372,2.089014832191429,CSF2RB;BID
citrate cycle,1 of 28,0.3253875400567389,0.6102983702256102,0,0,2.623767652544631,2.9458046334546464,ACO2
dorso ventral axis formation,1 of 28,0.3253875400567389,0.6102983702256102,0,0,2.623767652544631,2.9458046334546464,MAPK1
colorectal cancer,2 of 84,0.327712182772511,0.6102983702256102,0,0,1.7292418772563176,1.9291760403915306,RAC2;MAPK1
erbb signaling pathway,2 of 85,0.3328179991559728,0.6102983702256102,0,0,1.7083206472097778,1.87942516771186,MAPK1;CRKL
aminosugars metabolism,1 of 29,0.3348115622311917,0.6102983702256102,0,0,2.5299331963001026,2.768221041975584,CYB5R3
thyroid cancer,1 of 29,0.3348115622311917,0.6102983702256102,0,0,2.5299331963001026,2.768221041975584,MAPK1
jak stat signaling pathway,3 of 148,0.3409709783373637,0.6102983702256102,0,0,1.4674662668665668,1.5789319416543022,LIF;EP300;CSF2RB
ether lipid metabolism,1 of 30,0.3441044002335887,0.6102983702256102,0,0,2.4425700818655423,2.605758625280671,PLA2G6
linoleic acid metabolism,1 of 31,0.35326787370848106,0.6121408891167189,0,0,2.361031175059952,2.4567206066843066,PLA2G6
gap junction,2 of 90,0.3581675415044632,0.6121408891167189,0,0,1.6108467344929438,1.6539439869070423,MAPK1;TUBA8
alanine and aspartate metabolism,1 of 33,0.37121388020800067,0.6231090132062869,0,0,2.21324190647482,2.1932715723710996,ADSL
arginine and proline metabolism,1 of 34,0.3799999281110667,0.6266665481129872,0,0,2.146064966208851,2.076498586619172,PRODH
snare interactions in vesicular transport,1 of 35,0.3886636419201306,0.6283046246122065,0,0,2.0828396106644096,1.9683687933786107,SNAP29
toll like receptor signaling pathway,2 of 99,0.402852706785387,0.6283046246122065,0,0,1.4607168111950575,1.3280607559768542,MAPK11;MAPK1
glutathione metabolism,1 of 37,0.40563083300789615,0.6283046246122065,0,0,1.9669264588329336,1.7747809758231583,GGT1
melanogenesis,2 of 100,0.40772959682281484,0.6283046246122065,0,0,1.4457378619317762,1.2970452801534647,EP300;MAPK1
bladder cancer,1 of 40,0.4302057905705405,0.6336617123885867,0,0,1.815347721822542,1.5312305581697632,MAPK1
porphyrin and chlorophyll metabolism,1 of 41,0.438170333034661,0.6336617123885867,0,0,1.7698741007194245,1.4604072886294681,HMOX1
cholera infection,1 of 41,0.438170333034661,0.6336617123885867,0,0,1.7698741007194245,1.4604072886294681,ATP6V1E1
n glycan biosynthesis,1 of 41,0.438170333034661,0.6336617123885867,0,0,1.7698741007194245,1.4604072886294681,MGAT3
type ii diabetes mellitus,1 of 42,0.4460239409022288,0.6352462188607502,0,0,1.7266187050359711,1.3940419843161458,MAPK1
glycine serine and threonine metabolism,1 of 44,0.4614044901654582,0.6473436130679563,0,0,1.6461435502760582,1.2732594452593304,PISD
inositol phosphate metabolism,1 of 46,0.4763595019907678,0.6584969586342967,0,0,1.5728217426059152,1.166377006847177,PI4KA
pathogenic escherichia coli infection epec,1 of 48,0.4909007086262841,0.6592095230124386,0,0,1.5057400887800398,1.0713542416436928,TUBA8
pathogenic escherichia coli infection ehec,1 of 48,0.4909007086262841,0.6592095230124386,0,0,1.5057400887800398,1.0713542416436928,TUBA8
acute myeloid leukemia,1 of 52,0.5187870326405413,0.6691652339557983,0,0,1.3873606996755536,0.9104718602107987,MAPK1
endometrial cancer,1 of 52,0.5187870326405413,0.6691652339557983,0,0,1.3873606996755536,0.9104718602107987,MAPK1
non small cell lung cancer,1 of 53,0.525517435890853,0.6691652339557983,0,0,1.360611510791367,0.8753792259141394,MAPK1
axon guidance,2 of 126,0.5267896522630753,0.6691652339557983,0,0,1.1410853615931058,0.7313831720081294,RAC2;MAPK1
glycerolipid metabolism,1 of 55,0.5386981413171773,0.6732767983129361,0,0,1.3100852651212362,0.810418613488643,PNPLA3
tight junction,2 of 131,0.5477795337751015,0.6732767983129361,0,0,1.0965773934458345,0.660010615382357,CLDN5;MYH9
hedgehog signaling pathway,1 of 57,0.5515139730861285,0.6732767983129361,0,0,1.2631680369989722,0.7516962722948831,CSNK1E
glycan structures biosynthesis 2,1 of 60,0.5700755246384271,0.6754336399702394,0,0,1.1987562492378978,0.6736847420305989,A4GALT
purine metabolism,2 of 139,0.5799905630984852,0.6754336399702394,0,0,1.0321220585522675,0.5622417269652834,ADSL;POLR3H
b cell receptor signaling pathway,1 of 62,0.5820226046552063,0.6754336399702394,0,0,1.159334827220191,0.6274853290724507,RAC2
glioma,1 of 62,0.5820226046552063,0.6754336399702394,0,0,1.159334827220191,0.6274853290724507,MAPK1
ppar signaling pathway,1 of 67,0.6104627852239645,0.6882250873931627,0,0,1.0712339219533464,0.5286945886195664,PPARA
complement and coagulation cascades,1 of 69,0.6212913224752332,0.6882250873931627,0,0,1.0396212441811257,0.4948131254846993,SERPIND1
adipocytokine signaling pathway,1 of 71,0.631819890697657,0.6882250873931627,0,0,1.0098150051387462,0.46365747705062293,PPARA
ribosome,1 of 71,0.631819890697657,0.6882250873931627,0,0,1.0098150051387462,0.46365747705062293,RPL3
melanoma,1 of 71,0.631819890697657,0.6882250873931627,0,0,1.0098150051387462,0.46365747705062293,MAPK1
phosphatidylinositol signaling system,1 of 72,0.6369742830128208,0.6882250873931627,0,0,0.9955415948930996,0.449015139656258,PI4KA
neuroactive ligand receptor interaction,3 of 238,0.6480079474077381,0.6921903074582657,0,0,0.901295097132285,0.39102896726138,TSPO;MCHR1;SSTR3
pyrimidine metabolism,1 of 84,0.6934946097102997,0.732454981042339,0,0,0.851087804455231,0.3115081893481361,POLR3H
glycan structures biosynthesis 1,1 of 106,0.7753151715010977,0.8097736235678132,0,0,0.6720109626584446,0.17101715295156747,MGAT3
oxidative phosphorylation,1 of 126,0.8306287463280676,0.8580121115916304,0,0,0.5639136690647482,0.10464677871625196,ATP6V1E1
cell adhesion molecules,1 of 133,0.8465900623709033,0.8649941941615752,0,0,0.5338183998255941,0.08890141660218231,CLDN5
cytokine cytokine receptor interaction,2 of 247,0.8617874472792817,0.8710539789704568,0,0,0.5739630148088116,0.08537505823226015,LIF;CSF2RB
calcium signaling pathway,1 of 169,0.9078402114471926,0.9078402114471926,0,0,0.41865793079821856,0.04047873516544062,CACNA1I
