name,state,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,A1,A2,A3,B1,B2,B3
GENE-15217,YES,456,34,422,12.376,3.6,5.7e-06,2.7e-02,7e-04,0,49,29,24,467,398,401
GENE-6739,YES,39.3,37,2.3,0.066,-3.9,5.8e-06,2.8e-02,7e-04,0,28,45,38,2,2,3
GENE-16076,YES,35,31,4,0.133,-2.9,5.8e-06,2.8e-02,7e-04,0,32,30,31,4,4,4
GENE-18597,YES,5266,682,4584,6.723,2.7,6.2e-06,2.9e-02,8e-04,0,874,652,520,4649,4928,4175
GENE-9419,YES,72,5.3,66.7,12.24,3.6,6.9e-06,3.3e-02,8e-04,0,5,5,6,84,50,66
GENE-2985,YES,119.7,21.7,98,4.503,2.2,7.1e-06,3.4e-02,8e-04,0,21,23,21,109,89,96
GENE-10539,YES,2223.7,427.7,1796,4.198,2.1,8.1e-06,3.8e-02,9e-04,0,471,380,432,1563,1723,2102
GENE-1278,YES,6800,1825,4975,2.726,1.4,8.5e-06,4.1e-02,9e-04,0,1810,1762,1903,4769,5257,4899
GENE-3027,YES,345.7,27,318.7,11.744,3.6,8.7e-06,4.1e-02,9e-04,0,22,19,40,344,316,296
GENE-8703,YES,1682.7,47.3,1635.3,34.469,5.1,9.3e-06,4.4e-02,0.001,0,65,32,45,1750,2222,934
GENE-11389,YES,232,40.3,191.7,4.742,2.2,1.1e-05,5.1e-02,0.0011,0,50,36,35,204,174,197
GENE-17033,YES,1366.7,269.3,1097.3,4.071,2,1.1e-05,5.3e-02,0.0011,0,245,233,330,1137,1057,1098
GENE-7755,YES,3344.7,2670.7,674,0.252,-2,1.1e-05,5.3e-02,0.0011,0,2469,2666,2877,543,714,765
GENE-18088,YES,18.3,0.7,17.7,22.469,4.5,1.1e-05,5.4e-02,0.0011,0,0,1,1,16,18,19
GENE-9253,YES,276.7,28.7,248,8.617,3.1,1.2e-05,5.8e-02,0.0012,0,29,20,37,208,232,304
GENE-10270,YES,845.7,837.3,8.3,0.01,-6.6,1.4e-05,6.8e-02,0.0013,0,1156,828,528,10,13,2
GENE-12995,YES,460,364,96,0.265,-1.9,1.6e-05,7.8e-02,0.0015,0,322,365,405,80,100,108
GENE-16370,YES,2731.3,2186.7,544.7,0.249,-2,1.7e-05,8.1e-02,0.0016,0,2153,2451,1956,636,437,561
GENE-1862,YES,43.3,2,41.3,19.496,4.3,1.8e-05,8.6e-02,0.0016,0,1,1,4,39,46,39
GENE-1715,YES,118.3,15.3,103,6.686,2.7,2.0e-05,9.3e-02,0.0017,0,13,13,20,89,126,94
GENE-16846,YES,24.3,23.7,0.7,0.033,-4.9,2.0e-05,9.5e-02,0.0017,0,33,25,13,0,1,1
GENE-6623,YES,1082.3,157,925.3,5.88,2.6,2.2e-05,1.0e-01,0.0018,0,198,144,129,729,901,1146
GENE-19321,YES,211.3,24.7,186.7,7.539,2.9,2.2e-05,1.0e-01,0.0018,0,30,29,15,211,165,184
GENE-4836,YES,53,44,9,0.207,-2.3,2.2e-05,1.0e-01,0.0018,0,39,49,44,9,8,10
GENE-707,YES,243,188,55,0.293,-1.8,2.2e-05,1.0e-01,0.0018,0,201,205,158,53,60,52
GENE-1205,YES,325,65.7,259.3,3.943,2,2.3e-05,1.1e-01,0.0018,0,55,62,80,276,230,272
GENE-13938,YES,224.3,190.7,33.7,0.177,-2.5,2.4e-05,1.1e-01,0.0019,0,238,177,157,40,35,26
GENE-8392,YES,73,60,13,0.218,-2.2,3.2e-05,1.5e-01,0.0024,0,60,63,57,16,10,13
GENE-14600,YES,2779,271.3,2507.7,9.243,3.2,3.3e-05,1.6e-01,0.0025,0,334,303,177,3421,2132,1970
GENE-13854,YES,246,200.3,45.7,0.228,-2.1,3.7e-05,1.8e-01,0.0027,0,222,186,193,60,38,39
GENE-8420,YES,93.7,3.7,90,23.773,4.6,4.1e-05,1.9e-01,0.003,0,3,4,4,147,66,57
GENE-2354,YES,1143,1001.3,141.7,0.141,-2.8,4.3e-05,2.0e-01,0.003,0,632,1402,970,129,156,140
GENE-5789,YES,13.7,12.3,1.3,0.117,-3.1,4.5e-05,2.1e-01,0.0031,0,12,15,10,2,1,1
GENE-15558,YES,744.3,532,212.3,0.399,-1.3,4.9e-05,2.3e-01,0.0034,0,492,545,559,236,193,208
GENE-8689,YES,48.7,5,43.7,8.536,3.1,5.0e-05,2.4e-01,0.0034,0,3,5,7,40,55,36
GENE-13707,YES,240,67.3,172.7,2.562,1.4,5.2e-05,2.5e-01,0.0035,0,73,69,60,182,164,172
GENE-8125,YES,24.7,23.7,1,0.047,-4.4,5.4e-05,2.5e-01,0.0036,0,30,19,22,2,0,1
GENE-12318,YES,634.3,571.7,62.7,0.11,-3.2,5.5e-05,2.6e-01,0.0036,0,440,709,566,60,91,37
GENE-339,YES,2166.3,1936.7,229.7,0.119,-3.1,5.6e-05,2.6e-01,0.0036,0,2214,1572,2024,284,280,125
GENE-11883,YES,2560.3,758.3,1802,2.376,1.2,5.7e-05,2.7e-01,0.0036,0,822,732,721,1608,1868,1930
GENE-7710,YES,834,223.7,610.3,2.728,1.4,6.1e-05,2.8e-01,0.0038,0,266,195,210,640,582,609
GENE-7457,YES,8984.3,1543.7,7440.7,4.82,2.3,6.3e-05,2.9e-01,0.0039,0,1958,1109,1564,5724,8407,8191
GENE-8761,YES,1869.7,1327,542.7,0.409,-1.3,6.5e-05,3.1e-01,0.004,0,1245,1318,1418,561,471,596
GENE-17437,YES,89,65.7,23.3,0.356,-1.5,6.9e-05,3.2e-01,0.0041,0,67,63,67,24,25,21
GENE-5809,YES,69.3,13,56.3,4.301,2.1,7.8e-05,3.7e-01,0.0047,0,15,14,10,45,64,60
GENE-19942,YES,203.3,180.3,23,0.129,-3,7.9e-05,3.7e-01,0.0047,0,182,182,177,27,11,31
GENE-7638,YES,570.3,549.3,21,0.038,-4.7,9.3e-05,4.4e-01,0.0054,0,256,418,974,25,24,14
GENE-18214,YES,23.7,2.3,21.3,8.728,3.1,9.5e-05,4.5e-01,0.0055,0,4,1,2,21,23,20
GENE-10680,YES,37.3,31,6.3,0.207,-2.3,1.1e-04,5.0e-01,0.006,1,31,30,32,4,8,7
GENE-13703,YES,741.7,611.7,130,0.213,-2.2,1.1e-04,5.3e-01,0.0063,1,671,406,758,140,149,101
GENE-15874,YES,35.3,6,29.3,4.806,2.3,1.2e-04,5.5e-01,0.0065,1,5,5,8,29,34,25
GENE-19878,YES,298.7,34.7,264,7.588,2.9,1.2e-04,5.7e-01,0.0067,1,30,52,22,343,189,260
GENE-1903,YES,893,90,803,8.919,3.2,1.3e-04,6.1e-01,0.0071,1,144,69,57,582,1024,803
GENE-15607,YES,149.3,121.3,28,0.231,-2.1,1.3e-04,6.3e-01,0.0071,1,99,118,147,19,34,31
GENE-4048,YES,61,4,57,13.852,3.8,1.4e-04,6.4e-01,0.0071,1,4,7,1,75,51,45
GENE-19971,YES,13.7,0.3,13.3,29.366,4.9,1.4e-04,6.4e-01,0.0071,1,0,0,1,13,11,16
GENE-3377,YES,155.7,155.3,0.3,0.003,-8.4,1.4e-04,6.4e-01,0.0071,1,374,37,55,1,0,0
GENE-11322,YES,868,244,624,2.557,1.4,1.4e-04,6.4e-01,0.0071,1,219,271,242,514,711,647
GENE-13079,YES,195,151,44,0.292,-1.8,1.5e-04,6.8e-01,0.0074,1,146,118,189,51,44,37
GENE-6453,YES,112.3,22.7,89.7,3.941,2,1.5e-04,7.2e-01,0.0077,1,29,23,16,75,90,104
GENE-16921,YES,84,68,16,0.237,-2.1,1.6e-04,7.3e-01,0.0078,1,69,75,60,19,19,10
GENE-5715,YES,79.7,71.7,8,0.113,-3.1,1.7e-04,8.1e-01,0.0085,1,73,54,88,10,11,3
GENE-7078,YES,1180.3,1033,147.3,0.143,-2.8,1.7e-04,8.2e-01,0.0085,1,1293,1185,621,184,91,167
GENE-12036,YES,575.3,422.3,153,0.363,-1.5,1.8e-04,8.6e-01,0.0088,1,434,370,463,191,127,141
GENE-5836,YES,549.3,429.3,120,0.28,-1.8,1.9e-04,9.1e-01,0.0093,1,478,382,428,162,86,112
GENE-4679,YES,32.3,5.7,26.7,4.627,2.2,2.2e-04,1.0e+00,0.0105,1,4,7,6,27,21,32
GENE-18137,YES,418,101.7,316.3,3.107,1.6,2.5e-04,1.0e+00,0.0117,1,78,121,106,362,343,244
GENE-16010,YES,42,33,9,0.276,-1.9,2.6e-04,1.0e+00,0.012,1,35,38,26,10,7,10
GENE-2879,YES,26,21,5,0.243,-2,2.6e-04,1.0e+00,0.012,1,17,25,21,4,5,6
GENE-13856,YES,245.3,188,57.3,0.306,-1.7,2.6e-04,1.0e+00,0.012,1,163,176,225,75,44,53
GENE-11043,YES,49.7,43,6.7,0.157,-2.7,3.0e-04,1.0e+00,0.0133,1,39,41,49,6,11,3
GENE-3419,YES,197.3,177.3,20,0.114,-3.1,3.2e-04,1.0e+00,0.0142,2,121,244,167,15,11,34
GENE-961,YES,19.3,2.3,17,6.97,2.8,3.5e-04,1.0e+00,0.0153,2,2,2,3,18,10,23
GENE-8380,YES,305.3,249.3,56,0.225,-2.2,3.7e-04,1.0e+00,0.016,2,199,347,202,76,40,52
GENE-6109,YES,658,210.7,447.3,2.122,1.1,3.9e-04,1.0e+00,0.0169,2,236,178,218,394,468,480
GENE-14682,YES,12909.3,3417.7,9491.7,2.777,1.5,3.9e-04,1.0e+00,0.0169,2,2458,4356,3439,9687,8290,10498
GENE-8239,YES,20.7,0,20.7,166.458,7.4,4.0e-04,1.0e+00,0.0169,2,0,0,0,20,13,29
GENE-3367,YES,106.3,29.7,76.7,2.577,1.4,4.0e-04,1.0e+00,0.0169,2,37,27,25,80,82,68
GENE-2623,YES,189.7,57,132.7,2.33,1.2,4.0e-04,1.0e+00,0.0169,2,59,66,46,146,132,120
GENE-9669,YES,52,12,40,3.308,1.7,4.1e-04,1.0e+00,0.0171,2,13,13,10,44,47,29
GENE-19573,YES,5763.3,3795.3,1968,0.519,-0.9,4.3e-04,1.0e+00,0.0176,2,4009,3700,3677,2028,1669,2207
GENE-8690,NO,537.7,525.7,12,0.023,-5.4,4.4e-04,1.0e+00,0.0181,2,945,113,519,7,19,10
GENE-17481,YES,127.3,26,101.3,3.896,2,5.3e-04,1.0e+00,0.0216,3,17,35,26,79,94,131
GENE-19741,YES,530,172,358,2.084,1.1,5.6e-04,1.0e+00,0.0224,3,176,186,154,321,428,325
GENE-14603,YES,105.3,19,86.3,4.522,2.2,5.7e-04,1.0e+00,0.0226,3,29,11,17,107,77,75
GENE-14650,YES,32,4.3,27.7,6.227,2.6,5.8e-04,1.0e+00,0.0227,3,2,5,6,19,38,26
GENE-16548,YES,269,238,31,0.13,-2.9,6.2e-04,1.0e+00,0.0243,3,204,246,264,23,57,13
GENE-2965,YES,611,409,202,0.494,-1,6.4e-04,1.0e+00,0.0247,3,424,393,410,242,195,169
GENE-15931,YES,1382,970,412,0.425,-1.2,6.4e-04,1.0e+00,0.0247,3,1232,834,844,351,433,452
GENE-7811,YES,92.7,18.3,74.3,4.032,2,6.6e-04,1.0e+00,0.0251,3,18,15,22,44,82,97
GENE-9928,YES,578.3,442.7,135.7,0.307,-1.7,6.7e-04,1.0e+00,0.0252,3,493,340,495,130,92,185
GENE-18593,YES,39,3,36,11.548,3.5,7.1e-04,1.0e+00,0.0266,3,0,5,4,32,45,31
GENE-3509,YES,40,10,30,2.975,1.6,7.2e-04,1.0e+00,0.0267,3,8,13,9,25,32,33
GENE-18920,YES,2029.3,1777.3,252,0.142,-2.8,7.9e-04,1.0e+00,0.0294,4,2017,693,2622,233,198,325
GENE-18049,NO,603.3,454.3,149,0.328,-1.6,8.5e-04,1.0e+00,0.0312,4,589,490,284,126,156,165
GENE-5439,YES,804.7,268.7,536,1.995,1,8.9e-04,1.0e+00,0.0325,4,247,332,227,532,539,537
GENE-8860,NO,188.7,177.7,11,0.062,-4,1.0e-03,1.0e+00,0.0375,5,221,223,89,1,17,15
GENE-17422,YES,65,14.3,50.7,3.512,1.8,1.1e-03,1.0e+00,0.038,5,20,14,9,52,62,38
GENE-16364,YES,1808,252.7,1555.3,6.15,2.6,1.2e-03,1.0e+00,0.0417,6,342,293,123,1102,1092,2472
GENE-1964,YES,63.3,50.7,12.7,0.252,-2,1.2e-03,1.0e+00,0.0419,6,39,39,74,9,12,17
GENE-3070,YES,630.7,525.7,105,0.199,-2.3,1.2e-03,1.0e+00,0.0419,6,307,563,707,76,73,166
GENE-5553,NO,240,73.3,166.7,2.268,1.2,1.3e-03,1.0e+00,0.0437,6,56,80,84,158,200,142
GENE-12214,YES,28,4.3,23.7,5.336,2.4,1.3e-03,1.0e+00,0.0439,6,3,8,2,29,23,19
GENE-2016,NO,1526.3,518.3,1008,1.944,1,1.4e-03,1.0e+00,0.0474,7,633,483,439,987,912,1125
GENE-14041,YES,167.3,111,56.3,0.508,-1,1.4e-03,1.0e+00,0.0483,7,124,102,107,46,65,58
GENE-7609,YES,98.3,65.3,33,0.506,-1,1.5e-03,1.0e+00,0.0491,7,65,63,68,37,27,35
GENE-8742,NO,392.7,390.3,2.3,0.006,-7.3,1.6e-03,1.0e+00,0.0526,7,978,58,135,1,0,6
GENE-14242,YES,125,44,81,1.839,0.9,1.6e-03,1.0e+00,0.0526,8,42,48,42,78,74,91
GENE-14654,YES,86.3,60.7,25.7,0.424,-1.2,1.7e-03,1.0e+00,0.0558,8,61,48,73,27,30,20
GENE-2933,YES,683.3,460,223.3,0.486,-1,1.7e-03,1.0e+00,0.0563,8,505,335,540,208,220,242
GENE-11591,YES,111092.7,79291.3,31801.3,0.401,-1.3,1.7e-03,1.0e+00,0.0566,8,69211,103760,64903,23471,40843,31090
GENE-9157,YES,187.3,49,138.3,2.816,1.5,1.9e-03,1.0e+00,0.0612,9,47,49,51,80,178,157
GENE-2448,NO,1689.3,515.3,1174,2.279,1.2,1.9e-03,1.0e+00,0.0612,9,498,451,597,1236,1469,817
GENE-12828,YES,640.7,207.3,433.3,2.091,1.1,2.0e-03,1.0e+00,0.0644,10,157,238,227,439,355,506
GENE-10843,YES,868,638,230,0.361,-1.5,2.1e-03,1.0e+00,0.066,10,563,727,624,285,274,131
GENE-16873,YES,2448.3,961.3,1487,1.547,0.6,2.1e-03,1.0e+00,0.067,10,1038,973,873,1446,1480,1535
GENE-4146,YES,56.7,15.3,41.3,2.684,1.4,2.3e-03,1.0e+00,0.0703,11,21,12,13,38,34,52
GENE-1457,NO,148.7,116.7,32,0.276,-1.9,2.3e-03,1.0e+00,0.0703,11,111,68,171,44,25,27
GENE-3005,NO,1945,1269.3,675.7,0.533,-0.9,2.3e-03,1.0e+00,0.0712,11,1473,1181,1154,617,829,581
GENE-2179,YES,113.7,35.7,78,2.184,1.1,2.4e-03,1.0e+00,0.0731,11,42,32,33,77,60,97
GENE-952,YES,344,133.7,210.3,1.573,0.7,2.8e-03,1.0e+00,0.085,13,134,141,126,189,225,217
GENE-18798,YES,1075,723.7,351.3,0.485,-1,2.8e-03,1.0e+00,0.0857,13,705,791,675,359,248,447
GENE-7846,NO,35,9.3,25.7,2.726,1.4,2.9e-03,1.0e+00,0.0874,14,13,6,9,21,29,27
GENE-11733,YES,25.3,17.7,7.7,0.438,-1.2,2.9e-03,1.0e+00,0.0874,14,19,20,14,8,8,7
GENE-9634,NO,27.3,18.7,8.7,0.468,-1.1,3.1e-03,1.0e+00,0.092,15,19,19,18,10,7,9
GENE-13345,YES,487.7,179,308.7,1.724,0.8,3.2e-03,1.0e+00,0.0938,15,213,164,160,349,280,297
GENE-6392,NO,47,31,16,0.518,-0.9,3.5e-03,1.0e+00,0.1045,17,29,32,32,18,13,17
GENE-7037,NO,79.7,24.3,55.3,2.266,1.2,3.7e-03,1.0e+00,0.1068,17,30,17,26,45,67,54
GENE-2273,YES,49,12.3,36.7,2.954,1.6,3.7e-03,1.0e+00,0.1068,18,19,9,9,47,33,30
GENE-6631,NO,1317.3,935.7,381.7,0.408,-1.3,3.9e-03,1.0e+00,0.1131,19,1248,866,693,507,273,365
GENE-13303,NO,189.3,36,153.3,4.252,2.1,4.2e-03,1.0e+00,0.1219,20,13,39,56,202,148,110
GENE-12461,NO,107,85.7,21.3,0.25,-2,4.3e-03,1.0e+00,0.1221,20,123,94,40,30,21,13
GENE-8054,YES,581,223.7,357.3,1.597,0.7,4.6e-03,1.0e+00,0.1296,22,199,248,224,411,339,322
GENE-17357,NO,246,150.7,95.3,0.633,-0.7,4.7e-03,1.0e+00,0.1333,23,140,169,143,106,89,91
GENE-8006,YES,44,13,31,2.37,1.2,5.0e-03,1.0e+00,0.1391,24,12,12,15,38,35,20
GENE-9109,YES,81.7,59.7,22,0.37,-1.4,5.2e-03,1.0e+00,0.1454,25,45,55,79,30,23,13
GENE-8304,NO,22.3,6.7,15.7,2.326,1.2,5.3e-03,1.0e+00,0.1459,25,7,8,5,19,13,15
GENE-19976,YES,24.3,4.3,20,4.511,2.2,5.4e-03,1.0e+00,0.1478,26,8,2,3,19,29,12
GENE-18978,NO,13446.3,7908.7,5537.7,0.7,-0.5,5.7e-03,1.0e+00,0.1551,27,7824,7998,7904,6206,5353,5054
GENE-8128,NO,76.7,29.7,47,1.581,0.7,5.7e-03,1.0e+00,0.1551,27,29,30,30,46,49,46
GENE-4298,NO,120.3,46.7,73.7,1.577,0.7,5.7e-03,1.0e+00,0.1551,27,50,43,47,75,79,67
GENE-12295,NO,1111,1060.7,50.3,0.048,-4.4,5.9e-03,1.0e+00,0.1583,28,1575,400,1207,60,1,90
GENE-8273,YES,95.3,31.3,64,2.038,1,6.0e-03,1.0e+00,0.1583,28,28,30,36,84,61,47
GENE-16529,YES,4956.3,1648.7,3307.7,2.006,1,6.0e-03,1.0e+00,0.1583,28,1149,2119,1678,2622,3632,3669
GENE-1561,NO,32.7,23,9.7,0.423,-1.2,6.0e-03,1.0e+00,0.1583,28,18,31,20,8,9,12
GENE-6335,NO,2642.3,1721,921.3,0.535,-0.9,6.0e-03,1.0e+00,0.1583,29,1438,1596,2129,963,698,1103
GENE-19608,NO,880,321,559,1.74,0.8,6.2e-03,1.0e+00,0.1627,30,242,363,358,609,590,478
GENE-15277,NO,100.7,63.7,37,0.582,-0.8,6.3e-03,1.0e+00,0.1653,30,74,61,56,43,35,33
GENE-3317,NO,2710,1767.3,942.7,0.533,-0.9,6.5e-03,1.0e+00,0.1682,31,2397,1509,1396,1016,985,827
GENE-13338,NO,30,24,6,0.254,-2,6.7e-03,1.0e+00,0.1723,32,24,23,25,2,4,12
GENE-16013,NO,1540.7,640,900.7,1.408,0.5,6.8e-03,1.0e+00,0.1758,33,677,648,595,877,884,941
GENE-9810,NO,123.7,45,78.7,1.752,0.8,7.1e-03,1.0e+00,0.181,34,37,51,47,68,94,74
GENE-3220,YES,368.7,218,150.7,0.693,-0.5,7.7e-03,1.0e+00,0.195,37,223,215,216,159,160,133
GENE-9261,NO,470.7,179,291.7,1.63,0.7,7.8e-03,1.0e+00,0.1981,37,215,169,153,271,265,339
GENE-6689,NO,786,456,330,0.724,-0.5,7.9e-03,1.0e+00,0.1993,38,456,465,447,347,315,328
GENE-10050,NO,2001,793.7,1207.3,1.522,0.6,8.1e-03,1.0e+00,0.2037,39,811,803,767,1443,1019,1160
GENE-1088,YES,90.7,64.3,26.3,0.41,-1.3,8.2e-03,1.0e+00,0.2048,39,57,55,81,26,38,15
GENE-2819,YES,29.7,19.7,10,0.511,-1,8.6e-03,1.0e+00,0.2123,41,20,15,24,10,10,10
GENE-13783,NO,28.7,18.7,10,0.539,-0.9,8.8e-03,1.0e+00,0.2178,42,21,18,17,9,12,9
GENE-19079,YES,131,41.7,89.3,2.14,1.1,9.2e-03,1.0e+00,0.2263,44,38,29,58,107,68,93
GENE-12366,NO,33.3,6.7,26.7,3.94,2,9.4e-03,1.0e+00,0.228,45,3,5,12,37,29,14
GENE-8854,NO,112.7,68.7,44,0.641,-0.6,9.5e-03,1.0e+00,0.2287,45,60,69,77,46,46,40
GENE-18446,NO,19.7,6.3,13.3,2.083,1.1,9.5e-03,1.0e+00,0.2287,45,7,6,6,10,16,14
GENE-7667,NO,4709.3,2881,1828.3,0.635,-0.7,1.0e-02,1.0e+00,0.2464,49,3103,2890,2650,1597,1583,2305
GENE-3596,NO,40,26.3,13.7,0.521,-0.9,1.0e-02,1.0e+00,0.2466,49,22,33,24,16,11,14
GENE-3159,NO,28.3,9.3,19,2.022,1,1.1e-02,1.0e+00,0.247,50,8,10,10,25,16,16
GENE-18244,YES,20727.7,3901.7,16826,4.312,2.1,1.1e-02,1.0e+00,0.247,50,5896,4317,1492,29033,9797,11648
GENE-13279,NO,888.3,5.7,882.7,152.487,7.3,1.1e-02,1.0e+00,0.247,50,4,13,0,3,481,2164
GENE-13051,YES,50,36.7,13.3,0.366,-1.4,1.1e-02,1.0e+00,0.247,50,31,52,27,19,7,14
GENE-17982,NO,23,15.7,7.3,0.472,-1.1,1.1e-02,1.0e+00,0.247,51,18,13,16,10,6,6
GENE-17007,NO,86.3,31.7,54.7,1.723,0.8,1.1e-02,1.0e+00,0.2483,51,32,24,39,59,51,54
GENE-8821,NO,418.7,86.7,332,3.828,1.9,1.1e-02,1.0e+00,0.2501,52,56,146,58,480,138,378
GENE-14344,NO,1987,788.3,1198.7,1.52,0.6,1.1e-02,1.0e+00,0.2548,53,804,914,647,1102,1148,1346
GENE-5988,NO,975,394,581,1.475,0.6,1.2e-02,1.0e+00,0.2644,55,474,363,345,586,568,589
GENE-10565,NO,1266,763.3,502.7,0.658,-0.6,1.2e-02,1.0e+00,0.2649,56,683,892,715,468,587,453
GENE-10091,NO,1238.3,408,830.3,2.035,1,1.2e-02,1.0e+00,0.2653,56,380,437,407,726,537,1228
GENE-19485,NO,334.7,140.7,194,1.379,0.5,1.3e-02,1.0e+00,0.2842,60,144,140,138,181,188,213
GENE-400,NO,394.7,229.3,165.3,0.721,-0.5,1.3e-02,1.0e+00,0.2974,63,239,233,216,176,148,172
GENE-1938,NO,1949.3,814.3,1135,1.394,0.5,1.4e-02,1.0e+00,0.301,64,874,792,777,1287,1083,1035
GENE-8827,NO,84.3,53,31.3,0.592,-0.8,1.4e-02,1.0e+00,0.301,65,43,61,55,36,33,25
GENE-16159,NO,365,154,211,1.373,0.5,1.4e-02,1.0e+00,0.301,65,155,141,166,219,201,213
GENE-2522,NO,2873.3,1636,1237.3,0.756,-0.4,1.4e-02,1.0e+00,0.3046,66,1551,1663,1694,1209,1208,1295
GENE-637,NO,703.7,407.3,296.3,0.728,-0.5,1.4e-02,1.0e+00,0.3084,67,387,381,454,312,294,283
GENE-15860,NO,67.3,26.7,40.7,1.522,0.6,1.4e-02,1.0e+00,0.3142,69,26,30,24,43,40,39
GENE-10964,NO,1001.3,376,625.3,1.663,0.7,1.5e-02,1.0e+00,0.3152,69,441,342,345,747,452,677
GENE-19495,NO,2908.7,1217.7,1691,1.389,0.5,1.5e-02,1.0e+00,0.3174,70,1331,1267,1055,1664,1590,1819
GENE-9954,NO,120.3,76,44.3,0.584,-0.8,1.5e-02,1.0e+00,0.3194,71,67,79,82,43,33,57
