name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-17033,YES,0,246,233,329,1135,1063,1094
GENE-17313,YES,0,452,382,403,1561,1556,1403
GENE-17422,YES,0,20,14,9,52,62,38
GENE-17437,YES,0,67,63,67,24,25,21
GENE-17463,YES,0,111,149,112,3019,2796,4105
GENE-17480,YES,0,196,214,147,21,21,20
GENE-17481,YES,0,17,35,26,79,95,131
GENE-17833,YES,0,211,301,331,2161,2764,1970
GENE-18032,YES,0,21,24,17,119,147,150
GENE-18107,YES,0,555,487,546,3259,4097,4025
GENE-18133,YES,0,18,11,21,21,22,24
GENE-18137,YES,0,78,121,106,361,345,243
GENE-18214,YES,0,4,1,2,21,23,20
GENE-18244,YES,0,5912,4319,1487,28986,9851,11605
GENE-18295,YES,0,215,177,215,34,25,22
GENE-18299,YES,0,173,112,213,142,440,189
GENE-18377,YES,0,95,117,121,5,9,5
GENE-18383,YES,0,191,189,147,116,127,134
GENE-18542,YES,0,3,4,3,38,40,37
GENE-18593,YES,0,0,5,4,32,45,31
GENE-18597,YES,0,876,652,518,4641,4955,4160
GENE-18622,YES,0,105,117,91,96,108,107
GENE-18706,YES,0,730,717,1376,965,824,832
GENE-18798,YES,0,707,791,673,358,249,445
GENE-18920,YES,0,2023,693,2613,233,199,324
GENE-19012,YES,0,67,70,74,43,24,51
GENE-19079,YES,0,38,29,58,107,68,93
GENE-19237,YES,0,1584,1903,1476,1316,1203,1232
GENE-19321,YES,0,30,29,15,211,166,183
GENE-19355,YES,0,112,119,152,139,86,94
GENE-19573,YES,0,4020,3701,3665,2025,1678,2199
GENE-19575,YES,0,8,5,17,15,14,10
GENE-19741,YES,0,176,186,153,320,430,324
GENE-19878,YES,0,30,52,22,342,190,259
GENE-19942,YES,0,182,182,176,27,11,31
GENE-19976,YES,0,8,2,3,19,29,12
GENE-1,NO,1,0,0,0,0,0,0
GENE-2,NO,1,0,0,0,0,0,0
GENE-3,NO,1,702,690,740,869,723,657
GENE-4,NO,1,14,8,5,10,11,10
GENE-5,NO,1,0,0,0,0,0,0
GENE-6,NO,1,0,0,0,0,0,0
GENE-7,NO,1,0,0,1,1,0,0
GENE-8,NO,1,1,1,0,0,0,1
GENE-9,NO,1,0,0,0,0,0,0
GENE-10,NO,1,0,0,0,0,0,0
GENE-11,NO,1,0,0,0,0,0,0
GENE-12,NO,1,0,0,0,0,0,0
GENE-13,NO,1,0,0,0,0,0,0
GENE-14,NO,1,4,2,2,3,1,3
GENE-15,NO,1,0,0,0,0,0,0
GENE-16,NO,1,1,16,8,2,0,3
GENE-17,NO,1,149,271,164,167,134,208
GENE-18,NO,1,21,8,17,25,8,12
GENE-19,NO,1,0,0,0,0,0,0
GENE-20,NO,1,0,0,0,0,0,0
GENE-21,NO,1,27,25,33,32,24,22
GENE-22,NO,1,0,0,0,0,0,0
GENE-23,NO,1,0,0,0,0,0,0
GENE-24,NO,1,151,207,216,188,159,134
GENE-25,NO,1,1,2,0,1,0,2
GENE-26,NO,1,0,0,0,0,0,0
GENE-27,NO,1,202,227,158,203,255,181
GENE-28,NO,1,0,0,0,0,0,0
GENE-29,NO,1,0,0,0,0,0,0
GENE-30,NO,1,1,1,0,0,0,0
GENE-31,NO,1,0,0,0,0,0,0
GENE-32,NO,1,79,79,74,121,144,89
GENE-33,NO,1,0,0,0,0,0,0
GENE-34,NO,1,0,0,0,0,0,0
GENE-35,NO,1,0,0,0,0,0,0
GENE-36,NO,1,7,3,7,12,12,8
GENE-37,NO,1,0,0,0,0,0,0
GENE-38,NO,1,0,0,0,0,0,0
GENE-39,NO,1,0,0,0,0,0,0
GENE-40,NO,1,0,0,0,0,0,0
GENE-41,NO,1,0,0,0,0,0,0
GENE-42,NO,1,100,99,113,102,100,84
GENE-43,NO,1,27,23,9,18,12,17
GENE-44,NO,1,0,1,0,0,0,1
GENE-45,NO,1,0,0,0,0,0,0
GENE-46,NO,1,0,0,0,0,0,0
GENE-47,NO,1,0,0,0,0,0,0
GENE-48,NO,1,0,0,0,0,0,0
GENE-49,NO,1,1,0,0,1,3,4
GENE-50,NO,1,0,0,0,0,0,0
GENE-51,YES,1,0,0,0,0,0,0
GENE-52,NO,1,17166,15693,12902,14454,12717,14660
GENE-53,NO,1,0,0,0,0,0,0
GENE-54,NO,1,0,0,0,0,0,0
GENE-55,NO,1,488,507,390,465,499,494
GENE-56,NO,1,106,99,80,97,82,84
GENE-57,NO,1,0,1,1,2,1,3
GENE-58,NO,1,0,0,0,0,0,0
GENE-59,NO,1,0,0,0,0,0,0
GENE-60,NO,1,9,10,6,7,4,6
GENE-61,NO,1,0,0,0,0,0,0
GENE-62,NO,1,0,0,0,0,0,0
GENE-63,NO,1,0,0,0,0,0,0
GENE-64,NO,1,0,0,0,0,0,0
GENE-65,NO,1,0,0,0,0,0,0
GENE-66,NO,1,0,0,0,0,0,0
GENE-67,NO,1,0,0,0,0,0,0
GENE-68,NO,1,0,0,0,0,0,0
GENE-69,YES,1,0,0,0,0,0,0
GENE-70,NO,1,30,64,64,55,48,53
GENE-71,NO,1,0,0,0,0,0,0
GENE-72,NO,1,197,233,275,201,252,245
GENE-73,NO,1,0,0,0,0,0,0
GENE-74,NO,1,115,102,107,98,121,109
GENE-75,NO,1,717,753,902,837,783,903
GENE-76,NO,1,0,0,0,0,0,0
GENE-77,NO,1,6,9,6,19,18,2
GENE-78,YES,1,0,0,0,0,0,0
GENE-79,NO,1,0,0,0,0,0,0
GENE-80,NO,1,17,23,10,19,17,16
GENE-81,NO,1,291,314,245,264,258,302
GENE-82,NO,1,0,0,0,0,0,0
GENE-83,NO,1,128,128,165,135,170,147
GENE-84,NO,1,0,0,0,0,0,0
GENE-85,NO,1,0,0,0,0,0,0
GENE-86,NO,1,47,0,32,9,30,3
GENE-87,NO,1,1,0,0,0,0,1
GENE-88,NO,1,347,571,569,492,585,551
GENE-89,NO,1,998,1325,1336,1088,1015,938
GENE-90,NO,1,0,0,0,0,0,0
GENE-91,NO,1,51,50,49,53,40,45
GENE-92,NO,1,56,131,129,85,149,105
GENE-93,NO,1,0,0,0,0,0,0
GENE-94,NO,1,0,0,0,0,0,0
GENE-95,NO,1,0,0,0,0,0,0
GENE-96,NO,1,272,195,220,202,276,214
GENE-97,NO,1,0,0,0,0,0,0
GENE-98,NO,1,0,0,0,0,0,0
GENE-99,NO,1,4,86,12,24,20,44
GENE-100,NO,1,81,153,141,131,159,119
GENE-101,NO,1,0,0,0,0,0,0
GENE-102,NO,1,382,161,333,359,297,249
GENE-103,NO,1,0,0,0,0,0,0
GENE-104,NO,1,221,273,236,293,301,248
GENE-105,NO,1,0,0,0,0,0,0
GENE-106,NO,1,48,49,48,40,36,50
GENE-107,NO,1,0,0,0,0,0,0
GENE-108,NO,1,216,249,212,241,254,193
GENE-109,NO,1,0,0,0,0,0,0
GENE-110,NO,1,0,0,0,0,0,0
GENE-111,NO,1,0,0,0,0,0,0
GENE-112,NO,1,0,0,0,0,0,0
GENE-113,NO,1,0,28,5,5,1,10
GENE-114,NO,1,0,0,0,0,0,0
GENE-115,NO,1,186,218,201,236,200,149
GENE-116,NO,1,0,0,0,0,0,0
GENE-117,NO,1,0,4,1,1,1,1
GENE-118,NO,1,1,1,0,0,0,1
GENE-119,NO,1,0,0,0,0,0,0
GENE-120,NO,1,0,0,0,0,0,0
GENE-121,NO,1,9,4,8,8,6,11
GENE-122,NO,1,0,0,0,0,0,0
GENE-123,NO,1,0,0,0,0,0,0
GENE-124,NO,1,0,0,0,0,1,0
GENE-125,NO,1,0,0,0,0,0,0
GENE-126,NO,1,34,39,41,35,44,29
GENE-127,NO,1,729,564,614,1008,798,752
GENE-128,NO,1,0,1,2,0,1,0
GENE-129,NO,1,0,0,0,0,0,0
GENE-130,NO,1,5553,3601,5886,5166,7002,5632
GENE-131,NO,1,0,0,0,0,0,0
GENE-132,NO,1,38,59,41,22,49,91
GENE-133,NO,1,0,0,0,0,0,0
GENE-134,NO,1,1348,1022,1299,1499,1072,1340
GENE-135,NO,1,1,0,0,0,0,0
GENE-136,YES,1,0,0,0,0,0,0
GENE-137,NO,1,18,29,33,18,31,24
GENE-138,NO,1,0,0,0,0,0,0
GENE-139,NO,1,0,0,0,0,0,0
GENE-140,NO,1,1,1,3,1,4,3
GENE-141,NO,1,0,0,0,0,0,0
GENE-142,NO,1,0,0,0,0,0,0
GENE-143,NO,1,0,0,0,0,0,0
GENE-144,NO,1,0,0,0,0,0,0
GENE-145,NO,1,0,0,0,0,0,0
GENE-146,NO,1,2,1,3,2,2,4
GENE-147,NO,1,298,315,308,339,281,265
GENE-148,NO,1,0,0,0,0,0,0
GENE-149,NO,1,0,0,0,0,0,0
GENE-150,NO,1,2,58,0,57,3,1
GENE-151,NO,1,62,60,38,45,59,50
GENE-152,NO,1,0,0,0,0,0,0
GENE-153,NO,1,0,0,0,0,0,0
GENE-154,NO,1,757,607,684,672,774,533
GENE-155,NO,1,0,0,0,0,0,0
GENE-156,NO,1,281,323,321,357,333,332
GENE-157,NO,1,0,0,0,0,0,0
GENE-158,NO,1,0,0,0,0,0,0
GENE-159,NO,1,0,0,0,0,0,0
GENE-160,NO,1,0,0,0,0,0,0
GENE-161,NO,1,70,63,98,120,92,53
GENE-162,NO,1,218,323,289,265,230,325
GENE-163,NO,1,0,0,0,0,0,0
GENE-164,YES,1,0,0,0,0,0,0
GENE-165,NO,1,0,0,0,0,0,0
GENE-166,NO,1,0,0,0,0,0,0
GENE-167,NO,1,0,0,0,0,0,0
GENE-168,NO,1,4,5,10,4,8,7
GENE-169,NO,1,14,26,25,24,25,20
GENE-170,NO,1,0,0,0,0,0,0
GENE-171,NO,1,0,0,0,0,0,0
GENE-172,NO,1,0,0,0,0,0,0
GENE-173,NO,1,99,86,95,93,86,112
GENE-174,NO,1,0,0,0,0,0,0
GENE-175,NO,1,0,0,0,0,0,0
GENE-176,NO,1,526,516,541,520,504,587
GENE-177,NO,1,0,0,0,0,0,0
GENE-178,NO,1,0,0,0,0,0,0
GENE-179,NO,1,10,13,21,14,14,6
GENE-180,NO,1,157,182,252,215,128,424
GENE-181,NO,1,0,0,0,0,0,0
GENE-182,NO,1,182,166,184,156,178,195
GENE-183,NO,1,0,0,0,0,0,0
GENE-184,NO,1,0,0,0,0,0,0
GENE-185,NO,1,0,0,0,0,0,0
GENE-186,NO,1,0,0,0,0,0,0
GENE-187,NO,1,0,0,0,0,0,0
GENE-188,NO,1,0,0,0,0,0,0
GENE-189,NO,1,0,0,0,0,0,0
GENE-190,YES,1,0,0,0,0,0,0
GENE-191,NO,1,0,0,0,0,0,0
GENE-192,NO,1,1,2,0,0,1,1
GENE-193,NO,1,0,0,0,0,0,0
GENE-194,NO,1,0,0,0,0,0,0
GENE-195,NO,1,0,0,0,0,0,0
GENE-196,NO,1,15378,20497,16726,15986,14657,17635
GENE-197,NO,1,34,52,53,34,64,51
GENE-198,NO,1,0,1,1,0,0,0
GENE-199,NO,1,1261,1867,2734,2800,1763,2348
GENE-200,NO,1,10,19,15,16,11,17
GENE-201,NO,1,7,12,11,12,8,4
GENE-202,NO,1,0,0,0,0,0,0
GENE-203,NO,1,76,62,67,65,57,58
GENE-204,NO,1,0,0,0,0,0,0
GENE-205,NO,1,0,0,0,0,0,0
GENE-206,NO,1,0,0,0,0,0,0
GENE-207,NO,1,0,0,0,0,0,0
GENE-208,NO,1,178,153,147,188,171,169
GENE-209,NO,1,0,0,0,0,0,0
GENE-210,NO,1,125,131,124,132,92,166
GENE-211,NO,1,0,0,0,0,0,0
GENE-212,NO,1,0,0,0,0,0,0
GENE-213,NO,1,0,0,0,0,0,0
GENE-214,NO,1,0,0,0,0,0,0
GENE-215,NO,1,0,0,0,0,0,0
GENE-216,NO,1,0,0,0,0,0,0
GENE-217,NO,1,0,0,0,0,0,0
GENE-218,NO,1,34,42,47,44,44,52
GENE-219,NO,1,0,0,0,0,0,0
GENE-220,NO,1,0,0,0,0,0,0
GENE-221,NO,1,241,178,215,141,207,214
GENE-222,NO,1,0,0,0,0,0,0
GENE-223,NO,1,2,2,3,3,3,4
GENE-224,NO,1,0,0,0,0,0,0
GENE-225,NO,1,0,0,0,0,0,0
GENE-226,NO,1,0,0,0,0,0,0
GENE-227,NO,1,11,5,5,15,16,6
GENE-228,NO,1,0,0,0,0,0,0
GENE-229,NO,1,0,0,0,0,0,0
GENE-230,NO,1,0,0,0,0,0,0
GENE-231,NO,1,0,0,0,0,0,0
GENE-232,NO,1,84,151,106,79,81,121
GENE-233,NO,1,0,0,0,0,0,0
GENE-234,NO,1,17,34,17,28,25,22
GENE-235,NO,1,623,554,574,421,655,641
GENE-236,NO,1,2266,2318,1281,2184,2558,1748
GENE-237,NO,1,0,0,0,0,0,0
GENE-238,NO,1,0,0,0,0,0,0
GENE-239,NO,1,0,0,0,0,0,0
GENE-240,NO,1,0,0,0,0,0,0
GENE-241,NO,1,9,13,4,4,5,12
GENE-242,NO,1,346,384,387,347,487,369
GENE-243,NO,1,156,194,160,157,159,202
GENE-244,NO,1,0,0,0,0,0,0
GENE-245,NO,1,1,2,1,0,0,1
GENE-246,NO,1,0,0,0,0,0,0
GENE-247,NO,1,105,96,80,114,95,93
GENE-248,NO,1,0,0,0,0,0,0
GENE-249,NO,1,151,132,85,97,90,177
GENE-250,NO,1,0,0,0,0,0,0
GENE-251,YES,1,0,0,0,0,0,0
GENE-252,NO,1,0,0,0,0,0,0
GENE-253,NO,1,254,217,262,289,224,253
GENE-254,NO,1,24,17,29,31,25,18
GENE-255,NO,1,0,0,0,0,0,0
GENE-256,NO,1,0,0,0,0,0,0
GENE-257,NO,1,25,20,20,19,25,25
GENE-258,NO,1,0,0,0,0,0,0
GENE-259,NO,1,0,0,0,0,0,0
GENE-260,NO,1,0,0,0,0,0,0
GENE-261,NO,1,0,0,0,0,0,0
GENE-262,NO,1,89,70,94,79,69,73
GENE-263,NO,1,0,0,0,0,0,0
GENE-264,NO,1,0,0,0,0,0,0
GENE-265,NO,1,0,0,0,0,0,0
GENE-266,NO,1,0,0,0,0,0,0
GENE-267,NO,1,382,514,398,494,303,354
GENE-268,NO,1,1,0,0,0,0,2
GENE-269,NO,1,0,0,0,0,0,0
GENE-270,NO,1,0,0,0,0,0,0
GENE-271,NO,1,124,185,310,151,123,176
GENE-272,NO,1,0,0,0,0,0,0
GENE-273,NO,1,0,0,0,0,0,0
GENE-274,NO,1,335,445,400,340,330,481
GENE-275,NO,1,0,0,0,0,0,0
GENE-276,NO,1,0,0,0,0,0,0
GENE-277,NO,1,0,0,0,0,0,0
GENE-278,NO,1,0,0,0,0,0,0
GENE-279,NO,1,0,0,0,0,0,0
GENE-280,NO,1,0,0,0,0,0,0
GENE-281,NO,1,0,0,0,0,1,0
GENE-282,NO,1,0,0,0,0,0,0
GENE-283,NO,1,2958,3870,4909,3924,3800,5434
GENE-284,NO,1,1489,392,248,667,970,142
GENE-285,NO,1,53,70,56,55,102,53
GENE-286,NO,1,0,0,0,0,0,0
GENE-287,NO,1,1,0,3,1,4,3
GENE-288,NO,1,17,23,21,23,34,10
GENE-289,NO,1,117,53,93,53,85,24
GENE-290,NO,1,0,1,0,0,0,0
GENE-291,NO,1,0,0,0,0,0,0
GENE-292,NO,1,17,19,20,23,24,13
GENE-293,NO,1,0,0,0,0,0,0
GENE-294,NO,1,4,3,6,7,5,10
GENE-295,NO,1,0,1,0,0,0,0
GENE-296,NO,1,0,0,0,0,0,0
GENE-297,NO,1,0,0,0,0,0,0
GENE-298,NO,1,3,2,2,10,4,6
GENE-299,NO,1,0,0,0,0,0,0
GENE-300,NO,1,0,0,0,0,0,0
GENE-301,NO,1,1,0,0,0,0,0
GENE-302,NO,1,0,0,0,0,0,0
GENE-303,NO,1,19,26,46,12,31,13
GENE-304,NO,1,0,0,0,0,0,0
GENE-305,NO,1,0,0,0,0,0,0
GENE-306,NO,1,0,0,0,0,0,0
GENE-307,NO,1,433,689,350,388,259,384
GENE-308,NO,1,0,0,0,0,0,0
GENE-309,NO,1,0,0,0,0,0,0
GENE-310,NO,1,32,41,48,45,66,41
GENE-311,NO,1,46,30,28,28,39,30
GENE-312,NO,1,104,128,162,93,162,109
GENE-313,NO,1,35,45,55,38,43,40
GENE-314,NO,1,0,0,0,0,0,0
GENE-315,NO,1,313,259,226,290,271,224
GENE-316,NO,1,0,0,0,0,0,0
GENE-317,NO,1,0,0,0,0,0,0
GENE-318,NO,1,0,0,0,0,0,0
GENE-319,NO,1,0,0,0,0,0,0
GENE-320,NO,1,0,0,0,0,0,0
GENE-321,NO,1,132,188,124,188,195,161
GENE-322,NO,1,0,0,0,0,0,0
GENE-323,NO,1,28,6,13,4,18,12
GENE-324,NO,1,0,0,0,0,0,0
GENE-325,NO,1,0,0,0,0,0,0
GENE-326,NO,1,0,0,0,0,0,0
GENE-327,NO,1,0,0,0,0,0,0
GENE-328,NO,1,0,0,0,0,0,0
GENE-329,NO,1,0,0,0,0,0,0
GENE-330,NO,1,0,0,0,0,0,0
GENE-331,NO,1,0,0,0,0,0,0
GENE-332,NO,1,0,0,0,0,0,0
GENE-333,NO,1,0,0,0,0,0,0
GENE-334,NO,1,0,0,0,0,0,0
GENE-335,NO,1,0,0,0,0,0,0
GENE-336,NO,1,3,2,0,1,2,2
GENE-337,NO,1,0,0,0,0,0,0
GENE-338,NO,1,10,11,11,5,13,5
GENE-340,NO,1,0,0,0,0,0,0
GENE-341,NO,1,8,11,14,2,6,10
GENE-342,NO,1,468,414,400,357,379,389
GENE-343,NO,1,0,0,0,0,0,0
GENE-344,NO,1,0,0,0,0,0,0
GENE-345,NO,1,0,0,0,0,0,0
GENE-346,NO,1,0,0,0,0,0,0
GENE-347,NO,1,0,0,0,0,0,0
GENE-348,NO,1,0,0,0,0,0,0
GENE-349,NO,1,0,0,0,0,0,0
GENE-350,NO,1,0,0,0,0,0,0
GENE-351,NO,1,0,0,0,0,0,0
GENE-352,NO,1,0,0,0,0,0,0
GENE-353,NO,1,0,0,0,0,0,0
GENE-354,NO,1,6,6,8,5,5,13
GENE-355,NO,1,0,0,0,0,0,0
GENE-356,NO,1,0,0,0,0,0,0
GENE-357,NO,1,0,0,0,0,0,0
GENE-358,NO,1,0,0,0,0,0,0
GENE-359,NO,1,14,24,10,10,71,21
GENE-360,NO,1,0,0,0,0,0,0
GENE-361,NO,1,0,0,0,0,0,0
GENE-362,NO,1,0,1,1,2,0,1
GENE-363,NO,1,0,0,0,0,0,0
GENE-364,NO,1,0,0,0,0,0,0
GENE-365,NO,1,0,0,0,0,0,0
GENE-366,NO,1,1637,1131,850,942,927,1040
GENE-367,NO,1,0,0,0,0,0,0
GENE-368,NO,1,94,96,139,85,137,83
GENE-369,YES,1,0,0,0,0,0,0
GENE-370,NO,1,511,1731,3338,2545,1432,474
